UF,Clube,Cidade,Série A,R,Série B,P,R,Série C,P,R,Série D,P
SC,Metropolitano,Blumenau,0,–,0,–,–,1,–,–,8,–
AP,Santos-AP,Macapá,0,–,0,–,–,1,–,–,8,–
BA,Vitória da Conquista,Vitória da Conquista,0,–,0,–,–,1,–,–,6,–
PI,Altos,Altos,0,–,0,–,–,1,–,–,5,1
RJ,Boavista-RJ,Saquarema,0,–,0,–,–,1,–,–,5,–
BA,Juazeirense,Juazeiro,0,–,0,–,–,1,–,1,5,1
MG,URT,Patos de Minas,0,–,0,–,–,1,–,–,4,–
SP,Novorizontino,Novo Horizonte,0,–,0,–,–,1,–,–,3,1
DF,Luziânia,Luziânia,0,–,0,–,–,1,–,–,3,–
AP,Trem,Macapá,0,–,0,–,–,1,–,–,3,–
PI,4 de Julho,Piripiri,0,–,0,–,–,1,–,–,2,–
AP,Cristal †,Macapá,0,–,0,–,–,1,–,–,2,–
CE,Floresta,Fortaleza,0,–,0,–,–,1,–,–,2,1
SP,Linense,Lins,0,–,0,–,–,1,–,–,2,–
PA,São Francisco,Santarém,0,–,0,–,–,1,–,–,2,–
MT,Vila Aurora,Rondonópolis,0,–,0,–,–,1,–,–,2,–
AM,América-AM †,Manaus,0,–,0,–,–,1,–,–,1,–
DF,Botafogo-DF [BOT],Guará,0,–,0,–,–,1,–,–,1,–
BA,Camaçari †,Camaçari,0,–,0,–,–,1,–,–,1,–
PE,Flamengo de Arcoverde,Arcoverde,0,–,0,–,–,1,–,–,1,–
RR,GAS [GAS],Caracaraí,0,–,0,–,–,1,–,–,1,–
RS,Gaúcho,Passo Fundo,0,–,0,–,–,1,–,–,1,–
MG,Guarani-MG,Divinópolis,0,–,0,–,–,1,–,–,1,–
CE,Horizonte,Horizonte,0,–,0,–,–,1,–,–,1,–
AP,Macapá,Macapá,0,–,0,–,–,1,–,–,1,–
PR,Nacional-PR,Rolândia,0,–,0,–,–,1,–,–,1,–
PE,Petrolina,Petrolina,0,–,0,–,–,1,–,–,1,–
RN,Santa Cruz-RN,Santa Cruz,0,–,0,–,–,1,–,–,1,–
RS,São Luiz,Ijuí,0,–,0,–,–,1,–,–,1,–
ES,São Mateus,São Mateus,0,–,0,–,–,1,–,–,1,–
PR,Toledo,Toledo,0,–,0,–,–,1,–,–,1,–
PA,Abaeté †,Abaetetuba,0,–,0,–,–,1,–,–,0,–
